entity_id,market,code,name
A.000333,A,000333,美的集团
A.000568,A,000568,泸州老窖
A.000651,A,000651,格力电器
A.000725,A,000725,京东方A
A.000858,A,000858,五粮液
A.002475,A,002475,立讯精密
A.300308,A,300308,中际旭创
A.600048,A,600048,保利发展
A.600519,A,600519,贵州茅台
A.600760,A,600760,中航沈飞
A.600887,A,600887,伊利股份
A.600900,A,600900,长江电力
A.601138,A,601138,工业富联
A.601166,A,601166,兴业银行
A.601225,A,601225,陕西煤业
A.601816,A,601816,京沪高铁
A.601985,A,601985,中国核电
A.603288,A,603288,海天味业
A.603501,A,603501,韦尔股份
ABC,A,601288,农业银行
ABC,HK,01288,农业银行
BABA,HK,09988,阿里巴巴
BABA,US,BABA,阿里巴巴
BOC,A,601988,中国银行
BOC,HK,03988,中国银行
BOCOM,A,601328,交通银行
BOCOM,HK,03328,交通银行
BYD,A,002594,比亚迪
BYD,HK,01211,比亚迪
Baidu,HK,09888,百度
Baidu,US,BIDU,百度
Baosteel,A,600019,宝钢股份
Baosteel,HK,00347,宝钢股份
Bilibili,HK,09626,哔哩哔哩
Bilibili,US,BILI,哔哩哔哩
CATL,A,300750,宁德时代
CATL,HK,03750,宁德时代
CCB,A,601939,建设银行
CCB,HK,00939,建设银行
CHALCO,HK,02600,中国铝业
CITICS,A,600030,中信证券
CITICS,HK,06030,中信证券
CLI,A,601628,中国人寿
CLI,HK,02628,中国人寿
CMB,A,600036,招商银行
CMB,HK,03968,招商银行
CNOOC,HK,00883,中国海油
CPIC,A,601601,中国太保
CPIC,HK,02601,中国太保
CSPC,HK,01093,石药集团
ChinaMobile,A,600941,中国移动
ChinaMobile,HK,00941,中国移动
EDU,US,EDU,新东方
FUTU,US,FUTU,富途控股
GWM,A,601633,长城汽车
GWM,HK,02333,长城汽车
Hengrui,A,600276,恒瑞医药
Hengrui,HK,01276,恒瑞医药
ICBC,A,601398,工商银行
ICBC,HK,01398,工商银行
IQ,US,IQ,爱奇艺
JD,HK,09618,京东集团
JD,US,JD,京东
JXC,HK,00358,江西铜业
Kuaishou,HK,01024,快手
LiAuto,HK,02015,理想汽车
LiAuto,US,LI,理想汽车
Meituan,HK,03690,美团
Mindray,A,300760,迈瑞医疗
Mindray,HK,030760,迈瑞医疗
NIO,HK,09866,蔚来
NIO,US,NIO,蔚来
NetEase,HK,09999,网易
NetEase,US,NTES,网易
PA,A,601318,中国平安
PA,HK,02318,中国平安
PDD,US,PDD,拼多多
PSBC,A,601658,邮储银行
PSBC,HK,01658,邮储银行
PetroChina,A,601857,中国石油
PetroChina,HK,00857,中国石油
SF,A,002352,顺丰控股
SF,HK,06936,顺丰控股
SMIC,HK,00981,中芯国际
Shenhua,A,601088,中国神华
Shenhua,HK,01088,中国神华
Sinopec,A,600028,中国石化
Sinopec,HK,00386,中国石化
Sunny,HK,02382,舜宇光学
TIGR,US,TIGR,老虎证券
TME,US,TME,腾讯音乐
Tencent,HK,00700,腾讯控股
VIPS,US,VIPS,唯品会
Vanke,A,000002,万科A
Vanke,HK,02202,万科A
XPeng,HK,09868,小鹏汽车
XPeng,US,XPEV,小鹏汽车
Xiaomi,HK,01810,小米集团
YMM,US,YMM,满帮
Zijin,A,601899,紫金矿业
Zijin,HK,02899,紫金矿业
