code,name,entity_id,total_shares,iwf,listing_date,sector,ttm_net_profit_cny
BABA,阿里巴巴,BABA,2400000000,0.95,2014-09-19,可选消费,90000000000
JD,京东,JD,1290000000,0.95,2014-05-22,可选消费,35000000000
NTES,网易,NetEase,3200000000,0.95,2000-06-30,通信服务,28000000000
LI,理想汽车,LiAuto,1020000000,0.85,2020-07-30,可选消费,8000000000
XPEV,小鹏汽车,XPeng,950000000,0.85,2020-08-27,可选消费,-2000000000
NIO,蔚来,NIO,1050000000,0.88,2018-09-12,可选消费,-10000000000
BIDU,百度,Baidu,280000000,0.90,2005-08-05,通信服务,25000000000
BILI,哔哩哔哩,Bilibili,420000000,0.92,2018-03-28,通信服务,-3000000000
PDD,拼多多,PDD,1380000000,0.95,2018-07-26,可选消费,60000000000
TME,腾讯音乐,TME,340000000,0.90,2018-12-12,通信服务,5000000000
VIPS,唯品会,VIPS,1100000000,0.90,2012-03-23,可选消费,8000000000
EDU,新东方,EDU,160000000,0.90,2006-09-07,可选消费,3000000000
FUTU,富途控股,FUTU,140000000,0.85,2019-03-08,金融,5000000000
TIGR,老虎证券,TIGR,160000000,0.85,2019-03-20,金融,1000000000
IQ,爱奇艺,IQ,960000000,0.95,2018-03-29,通信服务,-2000000000
YMM,满帮,YMM,1100000000,0.90,2021-06-22,工业,4000000000
